Source,Target,Type,id,weight
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,Undirected,60,5
Aemon-Targaryen-(Maester-Aemon),Owen,Undirected,61,3
Aemon-Targaryen-(Maester-Aemon),Pypar,Undirected,62,5
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,Undirected,63,5
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,64,99
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,65,12
Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,Undirected,66,3
Aenys-Frey,Arya-Stark,Undirected,67,6
Aenys-Frey,Hosteen-Frey,Undirected,68,6
Aenys-Frey,Theon-Greyjoy,Undirected,69,3
Aenys-Frey,Wyman-Manderly,Undirected,70,4
Aeron-Greyjoy,Asha-Greyjoy,Undirected,71,7
Aeron-Greyjoy,Baelor-Blacktyde,Undirected,72,4
Aeron-Greyjoy,Balon-Greyjoy,Undirected,73,17
Aeron-Greyjoy,Dagmer,Undirected,74,5
Aeron-Greyjoy,Dunstan-Drumm,Undirected,75,4
Aeron-Greyjoy,Emmond,Undirected,76,4
Aeron-Greyjoy,Euron-Greyjoy,Undirected,77,27
Aeron-Greyjoy,Gormond-Goodbrother,Undirected,78,6
Aeron-Greyjoy,Gorold-Goodbrother,Undirected,79,10
Aeron-Greyjoy,Greydon-Goodbrother,Undirected,80,4
Aeron-Greyjoy,Meldred-Merlyn,Undirected,81,7
Aeron-Greyjoy,Murenmure,Undirected,82,11
Aeron-Greyjoy,Rus,Undirected,83,5
Aeron-Greyjoy,Theon-Greyjoy,Undirected,84,20
Aeron-Greyjoy,Victarion-Greyjoy,Undirected,85,20
Aerys-I-Targaryen,Robert-Baratheon,Undirected,86,3
Aerys-II-Targaryen,Arthur-Dayne,Undirected,87,5
Aerys-II-Targaryen,Barristan-Selmy,Undirected,88,4
Aerys-II-Targaryen,Brandon-Stark,Undirected,89,4
Aerys-II-Targaryen,Brienne-of-Tarth,Undirected,90,3
Aerys-II-Targaryen,Cersei-Lannister,Undirected,91,3
Aerys-II-Targaryen,Denys-Darklyn,Undirected,92,4
Aerys-II-Targaryen,Eddard-Stark,Undirected,93,15
Aerys-II-Targaryen,Elbert-Arryn,Undirected,94,3
Aerys-II-Targaryen,Gerold-Hightower,Undirected,95,3
Aerys-II-Targaryen,Jaime-Lannister,Undirected,96,37
Aerys-II-Targaryen,Joffrey-Baratheon,Undirected,97,6
Aerys-II-Targaryen,Jon-Arryn,Undirected,98,3
Aerys-II-Targaryen,Owen-Merryweather,Undirected,99,3
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,100,14
Aerys-II-Targaryen,Robert-Baratheon,Undirected,101,35
Aerys-II-Targaryen,Rossart,Undirected,102,4
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,103,9
Aerys-II-Targaryen,Tywin-Lannister,Undirected,104,26
Aerys-II-Targaryen,Viserys-Targaryen,Undirected,105,3
Aggar,Gariss,Undirected,106,3
Aggar,Gelmarr,Undirected,107,3
Aggar,Gynir,Undirected,108,3
Aggar,Ramsay-Snow,Undirected,109,4
Aggo,Barristan-Selmy,Undirected,110,3
Aggo,Belwas,Undirected,111,3
Aggo,Daario-Naharis,Undirected,112,4
Aggo,Daenerys-Targaryen,Undirected,113,30
Aggo,Drogo,Undirected,114,6
Aggo,Grey-Worm,Undirected,115,5
Aggo,Jhogo,Undirected,116,26
Aggo,Jorah-Mormont,Undirected,117,9
Aggo,Quaro,Undirected,118,3
Aggo,Rakharo,Undirected,119,23
Alayaya,Bronn,Undirected,120,3
Alayaya,Cersei-Lannister,Undirected,121,3
Alayaya,Dancy,Undirected,122,3
Alayaya,Tyrion-Lannister,Undirected,123,7
Albett,Halder,Undirected,124,3
Albett,Jon-Snow,Undirected,125,5
Albett,Rast,Undirected,126,3
Alebelly,Bran-Stark,Undirected,127,7
Alebelly,Hayhead,Undirected,128,3
Alebelly,Jojen-Reed,Undirected,129,6
Alebelly,Mikken,Undirected,130,3
Alerie-Hightower,Mace-Tyrell,Undirected,131,3
Alerie-Hightower,Margaery-Tyrell,Undirected,132,3
Alester-Florent,Axell-Florent,Undirected,133,4
Alester-Florent,Cortnay-Penrose,Undirected,134,4
Alester-Florent,Davos-Seaworth,Undirected,135,14
Alester-Florent,Lamprey,Undirected,136,3
Alester-Florent,Renly-Baratheon,Undirected,137,3
Alester-Florent,Selyse-Florent,Undirected,138,4
Alester-Florent,Stannis-Baratheon,Undirected,139,9
Alla-Tyrell,Elinor-Tyrell,Undirected,140,13
Alla-Tyrell,Margaery-Tyrell,Undirected,141,7
Alla-Tyrell,Megga-Tyrell,Undirected,142,16
Alla-Tyrell,Osney-Kettleblack,Undirected,143,3
Alla-Tyrell,Sansa-Stark,Undirected,144,4
Allar-Deem,Janos-Slynt,Undirected,145,3
Allar-Deem,Tyrion-Lannister,Undirected,146,4
Allard-Seaworth,Davos-Seaworth,Undirected,147,5
Allard-Seaworth,Marya-Seaworth,Undirected,148,5
Allard-Seaworth,Stannis-Baratheon,Undirected,149,3
Alleras,Armen,Undirected,150,5
Alleras,Leo-Tyrell,Undirected,151,7
Alleras,Marwyn,Undirected,152,3
Alleras,Mollander,Undirected,153,7
Alleras,Pate-(novice),Undirected,154,8
Alleras,Roone,Undirected,155,6
Alleras,Samwell-Tarly,Undirected,156,8
Alliser-Thorne,Bowen-Marsh,Undirected,157,3
Alliser-Thorne,Grenn,Undirected,158,3
Alliser-Thorne,Halder,Undirected,159,4
Alliser-Thorne,Janos-Slynt,Undirected,160,13
Alliser-Thorne,Jeor-Mormont,Undirected,161,13
Alliser-Thorne,Joffrey-Baratheon,Undirected,162,4
Alliser-Thorne,Jon-Snow,Undirected,163,63
Alliser-Thorne,Mance-Rayder,Undirected,164,6
Alliser-Thorne,Pypar,Undirected,165,4
Alliser-Thorne,Qhorin-Halfhand,Undirected,166,4
Alliser-Thorne,Rast,Undirected,167,5
Alliser-Thorne,Samwell-Tarly,Undirected,168,12
Alliser-Thorne,Stannis-Baratheon,Undirected,169,3
Alliser-Thorne,Tyrion-Lannister,Undirected,170,15
Alyn,Eddard-Stark,Undirected,171,11
Alyn,Harwin,Undirected,172,6
Alyn,Jory-Cassel,Undirected,173,8
Alyn,Robert-Baratheon,Undirected,174,4
Alyn,Tomard,Undirected,175,3
Alys-Arryn,Elys-Waynwood,Undirected,176,4
Alys-Arryn,Jon-Arryn,Undirected,177,3
Alys-Karstark,Jon-Snow,Undirected,178,13
Alys-Karstark,Melisandre,Undirected,179,6
Alys-Karstark,Sigorn,Undirected,180,5
Alysane-Mormont,Asha-Greyjoy,Undirected,181,18
Alysane-Mormont,Justin-Massey,Undirected,182,5
Alysane-Mormont,Stannis-Baratheon,Undirected,183,5
Amabel,Arya-Stark,Undirected,184,6
Amabel,Harra,Undirected,185,4
Amerei-Frey,Jaime-Lannister,Undirected,186,6
Amerei-Frey,Lancel-Lannister,Undirected,187,10
Amerei-Frey,Lyle-Crakehall,Undirected,188,4
Amory-Lorch,Arya-Stark,Undirected,189,9
Amory-Lorch,Cersei-Lannister,Undirected,190,4
Amory-Lorch,Chiswyck,Undirected,191,4
Amory-Lorch,Dunsen,Undirected,192,3
Amory-Lorch,Gendry,Undirected,193,3
Amory-Lorch,Gregor-Clegane,Undirected,194,10
Amory-Lorch,Hot-Pie,Undirected,195,3
Amory-Lorch,Ilyn-Payne,Undirected,196,4
Amory-Lorch,Jaime-Lannister,Undirected,197,3
Amory-Lorch,Joffrey-Baratheon,Undirected,198,7
Amory-Lorch,Meryn-Trant,Undirected,199,5
Amory-Lorch,Oberyn-Martell,Undirected,200,6
Amory-Lorch,Polliver,Undirected,201,3
Amory-Lorch,Rafford,Undirected,202,5
Amory-Lorch,Roose-Bolton,Undirected,203,3
Amory-Lorch,Sandor-Clegane,Undirected,204,5
Amory-Lorch,Tickler,Undirected,205,5
Amory-Lorch,Tywin-Lannister,Undirected,206,8
Amory-Lorch,Vargo-Hoat,Undirected,207,10
